name,status,wiki_flags,note
llLoadURL,partial,,stub: prints not implemented and returns default void
llLog,missing,,
llLog10,missing,,
llLookAt,missing,,
llLoopSound,partial,,stores looping sound state and history without audio playback
llLoopSoundMaster,missing,,
llLoopSoundSlave,missing,,
llMakeExplosion,partial,D,stub: prints not implemented and returns default void
llMakeFire,partial,D,stub: prints not implemented and returns default void
llMakeFountain,partial,D,stub: prints not implemented and returns default void
llMakeSmoke,partial,D,stub: prints not implemented and returns default void
llManageEstateAccess,missing,I,
llMapBeacon,missing,NEW I,
llMapDestination,partial,,stub: prints not implemented and returns default void
llMD5String,missing,,
llMessageLinked,partial,,queues link_message in linkset; ignores target details
llMinEventDelay,partial,,stub: prints not implemented and returns default void
llModifyLand,partial,,stub: prints not implemented and returns default void
llModPow,missing,,
llMoveToTarget,missing,,
llName2Key,missing,I,
llNavigateTo,missing,,
llOffsetTexture,missing,,
llOpenFloater,missing,I,
llOpenRemoteDataChannel,partial,D,stub: prints not implemented and returns default void
llOrd,missing,I,
llOverMyLand,partial,,stub: prints not implemented and returns default integer
llOwnerSay,partial,,prints to stdout
llParcelMediaCommandList,missing,,
llParcelMediaQuery,missing,,
llParseString2List,missing,,
llParseStringKeepNulls,missing,,
llParticleSystem,partial,,stores particle parameters on the current prim without rendering
llPassCollisions,partial,,stub: prints not implemented and returns default void
llPassTouches,partial,,stub: prints not implemented and returns default void
llPatrolPoints,missing,I,
llPlaySound,partial,,stores current sound state and history without audio playback
llPlaySoundSlave,missing,,
llPointAt,missing,R,
llPow,missing,,
llPreloadSound,partial,,records preloaded sound names on the current prim
llPursue,missing,I,
llPushObject,partial,,stub: prints not implemented and returns default void
llReadKeyValue,missing,X I,
llRefreshPrimURL,partial,D,stub: prints not implemented and returns default void
llRegionSay,partial,,routes through harness chat without range semantics
llRegionSayTo,partial,,routes through harness chat without private delivery semantics
llReleaseCamera,missing,D,
llReleaseControls,partial,,stub: prints not implemented and returns default void
llReleaseURL,partial,,stub: prints not implemented and returns default void
llRemoteDataReply,partial,D,stub: prints not implemented and returns default void
llRemoteDataSetRegion,missing,D,
llRemoteLoadScript,missing,R,
llRemoteLoadScriptPin,partial,,stub: prints not implemented and returns default void
llRemoveFromLandBanList,missing,,
llRemoveFromLandPassList,partial,,stub: prints not implemented and returns default void
llRemoveInventory,partial,,stub: prints not implemented and returns default void
llRemoveVehicleFlags,missing,,
llReplaceAgentEnvironment,missing,X I,
llReplaceEnvironment,missing,I,
llReplaceSubString,missing,NEW I,
llRequestAgentData,partial,,stub: prints not implemented and returns default key
llRequestDisplayName,partial,,synchronous name lookup instead of dataserver event
llRequestExperiencePermissions,missing,X I,
llRequestInventoryData,partial,,stub: prints not implemented and returns default key
llRequestPermissions,partial,,stub: prints not implemented and returns default void
llRequestSecureURL,partial,,stub: prints not implemented and returns default key
llRequestSimulatorData,partial,,stub: prints not implemented and returns default key
llRequestURL,partial,,stub: prints not implemented and returns default key
llRequestUserKey,missing,I,
llRequestUsername,partial,,synchronous name lookup instead of dataserver event
llResetAnimationOverride,missing,I,
llResetLandBanList,missing,,
llResetLandPassList,missing,,
llResetOtherScript,partial,,stub: prints not implemented and returns default void
llResetScript,partial,,stub: prints not implemented and returns default void
llResetTime,partial,,stubbed no-op
llReturnObjectsByID,missing,I,
llReturnObjectsByOwner,missing,I,
llRezAtRoot,partial,,clones stored object inventory into the current region with a runtime cap
llRezObject,partial,,clones stored object inventory into the current region with a runtime cap
llRezObjectWithParams,missing,I,
llRot2Angle,missing,,
llRot2Axis,missing,,
llRot2Euler,missing,,
llRot2Fwd,missing,,
llRot2Left,missing,,
llRot2Up,missing,,
llRotateTexture,missing,,
llRotBetween,missing,,
llRotLookAt,partial,,stub: prints not implemented and returns default void
llRotTarget,missing,,
llRotTargetRemove,missing,,
llRound,missing,,
llSameGroup,missing,,
llSay,partial,,routes chat in harness or prints to stdout
llScaleByFactor,missing,I,
llScaleTexture,missing,,
llScriptDanger,missing,,
llScriptProfiler,missing,I,
llSendRemoteData,missing,D,
llSensor,partial,,queues simplified sensor/no_sensor events from demo region entities
llSensorRemove,partial,,clears simplified repeated sensor registration
llSensorRepeat,partial,,stores and queues simplified repeated sensor scans
llSetAgentEnvironment,missing,X I,
llSetAgentRot,missing,NEW I,
llSetAlpha,partial,,stub: prints not implemented and returns default void
llSetAngularVelocity,partial,I,stub: prints not implemented and returns default void
llSetAnimationOverride,missing,I,
llSetBuoyancy,partial,,stub: prints not implemented and returns default void
llSetCameraAtOffset,partial,,stub: prints not implemented and returns default void
llSetCameraEyeOffset,partial,,stub: prints not implemented and returns default void
llSetCameraParams,partial,,stub: prints not implemented and returns default void
llSetClickAction,partial,,stub: prints not implemented and returns default void
llSetColor,partial,,stub: prints not implemented and returns default void
llSetContentType,missing,I,
llSetDamage,partial,U,stub: prints not implemented and returns default void
llSetEnvironment,missing,I,
llSetForce,partial,,stub: prints not implemented and returns default void
llSetForceAndTorque,partial,,stub: prints not implemented and returns default void
llSetLinkGLTFOverrides,missing,NEW,
llSetGroundTexture,missing,NEW,
llSetHoverHeight,partial,,stub: prints not implemented and returns default void
llSetInventoryPermMask,missing,G,
llSetKeyframedMotion,missing,I,
llSetLinkAlpha,partial,,stub: prints not implemented and returns default void
llSetLinkCamera,missing,I,
llSetLinkColor,partial,,stub: prints not implemented and returns default void
llSetLinkMedia,missing,I,
llSetLinkPrimitiveParams,partial,,supports a small model-backed PRIM_* subset
llSetLinkPrimitiveParamsFast,partial,,supports a small model-backed PRIM_* subset
llSetLinkRenderMaterial,missing,NEW,
llSetLinkSitFlags,missing,NEW,
llSetLinkTexture,partial,,stub: prints not implemented and returns default void
llSetLinkTextureAnim,missing,,
llSetLocalRot,partial,,stub: prints not implemented and returns default void
llSetMemoryLimit,missing,I,
llSetObjectDesc,partial,,writes harness object description
llSetObjectName,partial,,writes harness object name
llSetObjectPermMask,missing,G,
llSetParcelMusicURL,partial,,writes current demo parcel music URL
llSetPayPrice,partial,,stub: prints not implemented and returns default void
llSetPhysicsMaterial,missing,I,
llSetPos,partial,,sets harness object position
llSetPrimitiveParams,partial,,supports a small model-backed PRIM_* subset
llSetPrimMediaParams,missing,,
llSetPrimURL,missing,D,
llSetRegionPos,missing,I,
llSetRemoteScriptAccessPin,partial,,stub: prints not implemented and returns default void
llSetRenderMaterial,missing,NEW,
llSetRot,partial,,sets harness object rotation
llSetScale,partial,,sets current prim scale
llSetScriptState,partial,,stub: prints not implemented and returns default void
llSetSitText,partial,,stub: prints not implemented and returns default void
llSetSoundQueueing,partial,,stub: prints not implemented and returns default void
llSetSoundRadius,missing,,
llSetStatus,partial,,stub: prints not implemented and returns default void
llSetText,partial,,stores floating text state on the current prim
llSetTexture,partial,,stub: prints not implemented and returns default void
llSetTextureAnim,partial,,stores texture animation parameters on the current prim
llSetTimerEvent,partial,,queues timer events in tick loop
llSetTorque,partial,,stub: prints not implemented and returns default void
llSetTouchText,partial,,stub: prints not implemented and returns default void
llSetVehicleFlags,partial,,stub: prints not implemented and returns default void
llSetVehicleFloatParam,missing,,
llSetVehicleRotationParam,missing,,
llSetVehicleType,missing,,
llSetVehicleVectorParam,missing,,
llSetVelocity,missing,I,
llSHA1String,missing,,
llSHA256String,missing,I,
llShout,partial,,routes through harness chat without range semantics
llSignRSA,missing,I,
llSin,missing,,
llSitOnLink,missing,,
llSitTarget,partial,,stub: prints not implemented and returns default void
llSleep,partial,,stub: prints not implemented and returns default void
llSound,missing,D,
llSoundPreload,missing,D,
llSqrt,missing,,
llsRGB2Linear,missing,I,
llStartAnimation,missing,,
llStartObjectAnimation,missing,,
llStopAnimation,partial,,stub: prints not implemented and returns default void
llStopObjectAnimation,missing,,
llStopHover,missing,,
llStopLookAt,missing,,
llStopMoveToTarget,missing,,
llStopPointAt,missing,R,
llStopSound,partial,,clears current stored sound state
llStringLength,implemented,,Python string length
llStringToBase64,missing,,
llStringTrim,missing,,
llSubStringIndex,implemented,,Python substring search
llTakeCamera,missing,D,
llTakeControls,partial,,stub: prints not implemented and returns default void
llTan,missing,,
llTarget,partial,,stub: prints not implemented and returns default integer
llTargetedEmail,missing,I,
llTargetOmega,missing,,
llTargetRemove,partial,,stub: prints not implemented and returns default void
llTeleportAgent,partial,I,stub: prints not implemented and returns default void
llTeleportAgentGlobalCoords,partial,I,stub: prints not implemented and returns default void
llTeleportAgentHome,partial,,stub: prints not implemented and returns default void
llTextBox,partial,,stub: prints not implemented and returns default void
llToLower,missing,,
llToUpper,missing,,
llTransferLindenDollars,missing,I,
llTransferOwnership,missing,NEW I,
llTriggerSound,partial,,stores triggered sound state and history without audio playback
llTriggerSoundLimited,partial,,stub: prints not implemented and returns default void
llUnescapeURL,missing,,
llUnSit,partial,,stub: prints not implemented and returns default void
llUpdateCharacter,missing,I,
llUpdateKeyValue,missing,X I,
llVecDist,missing,,
llVecMag,missing,,
llVecNorm,missing,,
llVerifyRSA,missing,I,
llVolumeDetect,partial,,stub: prints not implemented and returns default void
llWanderWithin,partial,I,stub: prints not implemented and returns default void
llWater,partial,,reads demo region water height
llWhisper,partial,,routes through harness chat without range semantics
llWind,partial,,reads demo region wind vector
llWorldPosToHUD,missing,NEW,
llXorBase64,missing,I,
llXorBase64Strings,missing,D,
llXorBase64StringsCorrect,missing,D,
